Code	Name	Lat	Lon
001	Вознесенский пр., д.1	59.93565	30.30844
002	Метро "Адмиралтейская"	59.93619	30.31485
003	Метро "Гостиный двор"	59.93426	30.33363
004	Рубинштейна ул., д.3	59.93205	30.34564
005	Владимирская площадь	59.92872	30.34763
007	Метро "Лиговский проспект"	59.92107	30.35509
008	БКЗ "Октябрьский"	59.93563	30.36424
009	Колмовский сад	59.887303	30.319259
010	Маяковского ул., д.28	59.93871	30.35511
011	Белинского ул., д.1	59.93831	30.34498
012	Итальянская ул.	59.93592	30.33916
013	ТЦ "Лиговъ"	59.91528	30.34773
014	Гагаринская ул.	59.94666	30.34291
015	Марсово поле	59.94382	30.32863
016	Соляной пер., д.17/2	59.94287	30.34154
018	Метро "Чернышевская"	59.94477	30.35947
019	Шпалерная ул, д. 60	59.9486	30.3788
020	Кирочная ул., д.56	59.94274	30.38058
021	Новгородская ул.	59.93788	30.38752
022	Херсонская ул., д.20	59.92817	30.382
023	Невский пр., д.177	59.92362	30.38395
024	Метро "Спасская"	59.92744	30.3196
025	Метро "Технологический"	59.91676	30.31851
026	Площадь труда	59.93137	30.29344
027	Университетская наб., д.1	59.94222	30.30607
028	Университетская наб., д.17	59.93745	30.29092
029	Наб. Шмидта, д.45	59.92972	30.27055
030	Гостиница "Прибалтийская"	59.93939	30.21728
031	Метро "Приморская"	59.94861	30.23492
033	Метро "Василеостровская"	59.94277	30.27896
034	Биржевой пр-д, д.5	59.94308	30.29919
035	Метро "Спортивная"	59.95133	30.29306
036	Сквер Тукая	59.95173	30.30523
037	Метро «Парк Победы»	59.86666	30.32103
038	Метро "Горьковская"	59.9563	30.32112
039	Метро "Петроградская"	59.96604	30.31207
040	Метро "Чкаловская"	59.96102	30.29171
041	Гребная ул., д.22	59.97261	30.26892
042	Метро "Крестовский остров"	59.97133	30.25944
044	Савушкина ул.	59.98687	30.21537
060	Песочная наб.	59.97639	30.30203
045	ТЦ "Атлантик"	59.9884	30.20393
062	Большая Монетная ул.	59.96361	30.32825
064	ул. Комсомола	59.95532	30.35656
065	Загородный пр-т., д.37	59.92207	30.3325
067	Малая Конюшенная ул., д.4	59.93811	30.32594
068	Камская ул.	59.94782	30.26285
070	парк Декабристов	59.95459	30.2357
081	Новочеркасский пр-т.	59.92882	30.41022
073	Союза печатников ул., д.12	59.92352	30.29147
